Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Franklin electric co,FELE,"",4675036.0,376900000.0,0.0094,0.0099,1180,61713.0,1.337713,addition,10.0581670,Q2 2002,INDUSTRIALS,"","",26.5533
Zai lab ltd,ZLAB,"",2128784.0,376774000.0,0.0094,0.0088,1181,-311424.0,-12.762191,reduction,2.2312253,Q3 2018,HEALTH CARE,"","",53.61
Diodes inc.,DIOD,"",4720382.0,376545000.0,0.0094,0.01,1182,110547.0,2.398068,addition,10.4982563,Q2 2003,INFORMATION TECHNOLOGY,"","",31.4195
Fuller (h.b.) co.,FUL,"",5917336.0,376401000.0,0.0094,0.0099,1183,78553.0,1.345366,addition,11.2636974,Q2 2002,MATERIALS,"","",34.0971
Exlservice holdings inc,EXLS,"",3542162.0,376390000.0,0.0094,0.0086,1184,11564.0,0.327537,addition,10.6773273,Q4 2006,INFORMATION TECHNOLOGY,"","",36.638
Choice hotels international  inc.,CHH,"",3165622.0,376265000.0,0.0094,0.0091,1185,33756.0,1.077824,addition,5.6904246,Q2 2002,CONSUMER DISCRETIONARY,"","",54.7411
Unifirst corp,UNF,"",1603455.0,376235000.0,0.0094,0.0095,1186,35940.0,2.292801,addition,10.5193503,Q2 2002,INDUSTRIALS,"","",95.4904
Antero resources corp,AR,"",25013326.0,375950000.0,0.0094,0.007,1187,-446981.0,-1.755599,reduction,7.9694558,Q4 2013,ENERGY,"","",19.31
Chesapeake energy corp,CHK,"",7238155.0,375804000.0,0.0094,,1188,7238155.0,,new,7.3647780,Q2 2021,ENERGY,"","",51.92
Ameris bancorp,ABCB,"",7402155.0,374771000.0,0.0093,0.0102,1189,246796.0,3.449107,addition,10.6099147,Q2 2002,FINANCE,"","",39.5714
Brighthouse financial inc,BHF,"",8221008.0,374386000.0,0.0093,0.0099,1190,-63844.0,-0.770611,reduction,9.8916937,Q3 2017,FINANCE,"","",55.3
Onto innovation inc.,ONTO,"",5118760.0,373874000.0,0.0093,0.0073,1191,1000307.0,24.288416,addition,10.3896751,Q2 2002,INFORMATION TECHNOLOGY,"","",44.8556
Callaway golf co.,ELY,"",11076486.0,373610000.0,0.0093,0.0058,1192,3082413.0,38.55873,addition,5.9571215,Q2 2002,CONSUMER DISCRETIONARY,"","",20.3205
Eqova water technologies corp,AQUA,"",11055706.0,373461000.0,0.0093,0.0079,1193,-23403.0,-0.211235,reduction,9.2207391,Q4 2017,INDUSTRIALS,"","",21.53
Univar solutions inc,UNVR,"",15316671.0,373421000.0,0.0093,0.0088,1194,264093.0,1.75447,addition,8.9619388,Q2 2015,MATERIALS,"","",23.0533
Allete inc. (minnesota power and light - duluth edison electric),ALE,"",5335907.0,373407000.0,0.0093,0.0095,1195,113724.0,2.17771,addition,10.2087221,Q2 2002,UTILITIES AND TELECOMMUNICATIONS,"","",61.0544
Tripadvisor inc,TRIP,"",9260988.0,373217000.0,0.0093,0.0124,1196,717951.0,8.403932,addition,7.4322011,Q4 2011,CONSUMER DISCRETIONARY,"","",46.0655
Hecla mining co. (par $0.25),HL,"",50153331.0,373141000.0,0.0093,0.0075,1197,1212378.0,2.477226,addition,9.3648270,Q2 2002,MATERIALS,"","",4.1515
Sabre corp,SABR,"",29731623.0,371050000.0,0.0092,0.0117,1198,475028.0,1.623661,addition,9.3068375,Q2 2014,CONSUMER DISCRETIONARY,"","",22.4186
Nordstrom inc.,JWN,"",10085474.0,368826000.0,0.0092,0.0101,1199,258873.0,2.63441,addition,6.3925170,Q2 2002,CONSUMER DISCRETIONARY,"","",39.9217
Avangrid inc,AGR,"",7165447.0,368518000.0,0.0092,0.0078,1200,1388767.0,24.04092,addition,1.8505585,Q4 2015,UTILITIES AND TELECOMMUNICATIONS,"","",43.2472
Quaker chemical corp.,KWR,"",1552960.0,368346000.0,0.0092,0.0101,1201,19340.0,1.261069,addition,8.6863102,Q2 2002,MATERIALS,"","",91.4479
Asana  inc.,ASAN,"",5922677.0,367383000.0,0.0091,0.0039,1202,877385.0,17.390173,addition,6.4484704,Q3 2020,INFORMATION TECHNOLOGY,"","",33.8931
Navient corp,NAVI,"",18999321.0,367257000.0,0.0091,0.0074,1203,-154383.0,-0.806022,reduction,11.3198878,Q2 2014,FINANCE,"","",16.43
Editas medicine inc,EDIT,"",6483932.0,367250000.0,0.0091,0.0072,1204,136178.0,2.145294,addition,9.4987003,Q1 2016,HEALTH CARE,"","",29.2183
Cogent communications group inc,CCOI,"",4774196.0,367088000.0,0.0091,0.0088,1205,27422.0,0.577698,addition,10.0160134,Q1 2004,COMMUNICATIONS,"","",29.5037
Qiagen n.v.,QGEN,"",7578987.0,366672000.0,0.0091,0.0098,1206,113366.0,1.518507,addition,3.3243309,Q2 2011,HEALTH CARE,"","",29.8317
Spire inc. (laclede gas light),SR,"",5069344.0,366362000.0,0.0091,0.01,1207,86608.0,1.738162,addition,9.8083202,Q2 2002,UTILITIES AND TELECOMMUNICATIONS,"","",55.0592
Asbury automotive group  inc.,ABG,"",2130491.0,365103000.0,0.0091,0.0111,1208,47727.0,2.291522,addition,11.0151999,Q2 2002,CONSUMER DISCRETIONARY,"","",49.1409
Hillenbrand inc.,HI,"",8262627.0,364216000.0,0.0091,0.01,1209,504585.0,6.504025,addition,11.3127207,Q2 2008,CONSUMER DISCRETIONARY,"","",31.4608
Merit medical systems inc.,MMSI,"",5628873.0,363963000.0,0.0091,0.0091,1210,8082.0,0.143788,addition,10.0032354,Q2 2002,HEALTH CARE,"","",27.3836
Cardlytics inc,CDLX,"",2861557.0,363217000.0,0.009,0.0081,1211,127044.0,4.645946,addition,8.6608574,Q1 2018,INFORMATION TECHNOLOGY,"","",81.5675
Rlj lodging trust,RLJ,"",23808409.0,362602000.0,0.009,0.0099,1212,190888.0,0.808247,addition,14.4363382,Q2 2011,REAL ESTATE,"","",20.7256
Kinsale capital group inc,KNSL,"",2199867.0,362472000.0,0.009,0.0097,1213,14595.0,0.66788,addition,9.6461736,Q3 2016,FINANCE,"","",89.0457
Kennedy-wilson holdings inc,KW,"",18238370.0,362397000.0,0.009,0.0098,1214,241410.0,1.341393,addition,12.9567703,Q2 2010,REAL ESTATE,"","",18.9227
Stitch fix inc,SFIX,"",6008259.0,362298000.0,0.009,0.0074,1215,508853.0,9.252872,addition,8.3664969,Q4 2017,CONSUMER DISCRETIONARY,"","",31.66
Caretrust reit inc,CTRE,"",15594040.0,362249000.0,0.009,0.0097,1216,196128.0,1.273731,addition,16.0705154,Q2 2014,REAL ESTATE,"","",17.5029
Atkore inc,ATKR,"",5098511.0,361994000.0,0.009,0.0098,1217,57892.0,1.14851,addition,11.0590252,Q3 2016,INDUSTRIALS,"","",23.7922
Overstock.com inc,OSTK,"",3925660.0,361946000.0,0.009,0.007,1218,-540.0,-0.013754,reduction,9.1266381,Q2 2002,CONSUMER DISCRETIONARY,"","",43.26
Exp world holdings inc,EXPI,"",9323730.0,361481000.0,0.009,0.0105,1219,831910.0,9.796604,addition,6.3677246,Q3 2018,INFORMATION TECHNOLOGY,"","",31.1559
Westlake chemical corp,WLK,"",3997970.0,360177000.0,0.009,0.009,1220,269403.0,7.225376,addition,3.1197479,Q3 2004,MATERIALS,"","",62.867
Blackbaud inc,BLKB,"",4698496.0,359763000.0,0.009,0.0091,1221,-18268.0,-0.387299,reduction,9.6116952,Q3 2004,INFORMATION TECHNOLOGY,"","",43.22
Reata pharmaceuticals inc,RETA,"",2538560.0,359282000.0,0.0089,0.0066,1222,104061.0,4.274432,addition,8.0680575,Q2 2016,HEALTH CARE,"","",92.3808
Brinks company (the),BCO,"",4670451.0,358877000.0,0.0089,0.0099,1223,60040.0,1.30227,addition,9.3798839,Q2 2002,INDUSTRIALS,"","",37.3049
Equitrans midstream corp,ETRN,"",42162566.0,358805000.0,0.0089,0.0089,1224,1651327.0,4.076219,addition,9.7480743,Q4 2018,ENERGY,"","",13.8907
Cenovus energy inc,CVE,"",37386194.0,358159000.0,0.0089,0.0076,1225,164241.0,0.441248,addition,1.8530821,Q1 2015,ENERGY,"","",11.0834
Denbury inc.,DEN,"",4663254.0,358045000.0,0.0089,0.0009,1226,3933584.0,539.090822,addition,9.3060440,Q4 2020,ENERGY,"","",68.7858
Ambarella inc,AMBA,"",3347811.0,356977000.0,0.0089,0.0087,1227,136144.0,4.239045,addition,9.2280725,Q2 2013,INFORMATION TECHNOLOGY,"","",65.2444
Xerox corp. (haloid co.),XRX,"",15176768.0,356503000.0,0.0089,0.0105,1228,-759143.0,-4.763725,reduction,8.5030804,Q2 2002,INFORMATION TECHNOLOGY,"","",325.49
Mgm growth properties llc,MGP,"",9724856.0,356124000.0,0.0089,0.0082,1229,429853.0,4.62456,addition,6.2078725,Q4 2016,REAL ESTATE,"","",29.442
Xenia hotels & resorts inc,XHR,"",18956947.0,355064000.0,0.0088,0.0099,1230,281285.0,1.506158,addition,16.5984509,Q1 2015,REAL ESTATE,"","",20.5033
American states water co.,AWR,"",4459588.0,354805000.0,0.0088,0.0093,1231,-85645.0,-1.884282,reduction,12.0752075,Q2 2002,UTILITIES AND TELECOMMUNICATIONS,"","",33.73
Star peak energy transition corp,STEM,"",9852776.0,354799000.0,0.0088,,1232,9852776.0,,new,7.5206902,Q2 2021,FINANCE,"","",36.01
Silgan holdings inc,SLGN,"",8543981.0,354574000.0,0.0088,0.0091,1233,554605.0,6.941781,addition,7.7385445,Q2 2002,MATERIALS,"","",14.1767
Steven madden ltd,SHOO,"",8096571.0,354306000.0,0.0088,0.0081,1234,57392.0,0.713904,addition,9.8803444,Q2 2002,CONSUMER DISCRETIONARY,"","",22.8195
Vroom  inc.,VRM,"",8457286.0,354021000.0,0.0088,0.008,1235,889998.0,11.761122,addition,6.1860885,Q2 2020,CONSUMER DISCRETIONARY,"","",43.4616
Investors bancorp inc,ISBC,"",24777771.0,353331000.0,0.0088,0.0097,1236,477801.0,1.966262,addition,10.0065408,Q4 2005,FINANCE,"","",10.8863
Lci industries,LCII,"",2668788.0,350732000.0,0.0087,0.0095,1237,17834.0,0.672739,addition,10.5603216,Q2 2002,CONSUMER DISCRETIONARY,"","",57.3582
Servisfirst bancshares inc,SFBS,"",5158112.0,350649000.0,0.0087,0.0085,1238,58086.0,1.138935,addition,9.5166004,Q3 2014,FINANCE,"","",33.7301
Axis capital holdings ltd,AXS,"",7149830.0,350413000.0,0.0087,0.0095,1239,93771.0,1.328943,addition,8.4344269,Q3 2003,FINANCE,"","",43.5427
Telus corp. non-voting shares,TU,"",15595144.0,349800000.0,0.0087,0.0083,1240,151793.0,0.982902,addition,1.1460465,Q1 2015,UTILITIES AND TELECOMMUNICATIONS,"","",16.4488
Solaredge technologies inc,SEDG,"",1265467.0,349737000.0,0.0087,0.0112,1241,-181399.0,-12.537374,reduction,2.4210069,Q2 2015,ENERGY,"","",88.86
New relic inc,NEWR,"",5220858.0,349641000.0,0.0087,0.0085,1242,84485.0,1.644838,addition,8.0509417,Q4 2014,INFORMATION TECHNOLOGY,"","",58.0861
Premier inc,PINC,"",10037467.0,349203000.0,0.0087,0.0094,1243,-227086.0,-2.212332,reduction,8.2092981,Q4 2013,HEALTH CARE,"","",34.37
Schrodinger  inc.,SDGR,"",4616552.0,349058000.0,0.0087,0.0083,1244,585923.0,14.536763,addition,7.4975564,Q1 2020,INFORMATION TECHNOLOGY,"","",61.4486
Maravai lifesciences holdings  inc.,MRVI,"",8348750.0,348393000.0,0.0087,0.0052,1245,2992196.0,55.860466,addition,7.3009619,Q4 2020,HEALTH CARE,"","",33.5368
Piedmont office realty trust inc,PDM,"",18782870.0,346920000.0,0.0086,0.0086,1246,504333.0,2.759154,addition,15.1309505,Q1 2010,REAL ESTATE,"","",19.521
Murphy oil corp.,MUR,"",14860751.0,345959000.0,0.0086,0.0063,1247,592745.0,4.154365,addition,9.6226604,Q2 2002,ENERGY,"","",40.8597
Shift4 payments  inc.,FOUR,"",3689340.0,345766000.0,0.0086,0.0072,1248,432532.0,13.280857,addition,7.8108561,Q2 2020,FINANCE,"","",57.1737
Fubotv inc,FUBO,"",10658315.0,342239000.0,0.0085,0.0045,1249,3095688.0,40.93403,addition,7.5235141,Q4 2020,INFORMATION TECHNOLOGY,"","",27.4695
Mercury systems inc.,MRCY,"",5163434.0,342232000.0,0.0085,0.0097,1250,89568.0,1.765281,addition,9.1939593,Q2 2002,INFORMATION TECHNOLOGY,"","",35.8472
Quantumscape,QS,"",11694678.0,342187000.0,0.0085,0.0134,1251,585820.0,5.273449,addition,4.5042125,Q4 2020,FINANCE,"","",46.7193
Simmons first national corp.,SFNC,"",11650795.0,341834000.0,0.0085,0.0091,1252,276195.0,2.428173,addition,10.7530617,Q2 2002,FINANCE,"","",26.5283
Prog holdings inc,PRG,"",7078179.0,340672000.0,0.0085,0.008,1253,250325.0,3.666232,addition,10.6438940,Q2 2002,CONSUMER DISCRETIONARY,"","",43.4612
Realogy holdings corp. (domus holdings corp.),RLGY,"",18652354.0,339847000.0,0.0085,0.0075,1254,343109.0,1.873966,addition,15.9990409,Q4 2012,REAL ESTATE,"","",33.1895
Avista corp. (washington water power co.),AVA,"",7956097.0,339487000.0,0.0084,0.0101,1255,126057.0,1.609915,addition,11.4200508,Q2 2002,UTILITIES AND TELECOMMUNICATIONS,"","",33.045
Simply good foods co/the,SMPL,"",9282047.0,338888000.0,0.0084,0.0075,1256,119600.0,1.305328,addition,9.6910064,Q3 2017,CONSUMER STAPLES,"","",24.0033
Owens & minor  inc (holding co.),OMI,"",7998909.0,338594000.0,0.0084,0.0064,1257,1672001.0,26.426827,addition,10.5998482,Q2 2002,INDUSTRIALS,"","",27.4281
Moelis & co,MC,"",5930486.0,337385000.0,0.0084,0.0082,1258,438869.0,7.991617,addition,9.7207588,Q2 2014,FINANCE,"","",42.1389
Commvault systems inc,CVLT,"",4311480.0,337029000.0,0.0084,0.0076,1259,-61692.0,-1.410692,reduction,9.3991493,Q4 2006,INFORMATION TECHNOLOGY,"","",40.2
Nuvasive inc,NUVA,"",4962417.0,336353000.0,0.0084,0.0087,1260,38056.0,0.772811,addition,9.6050346,Q2 2004,HEALTH CARE,"","",42.2374
Cracker barrel old country store  inc.,CBRL,"",2261613.0,335759000.0,0.0084,0.0105,1261,25217.0,1.127573,addition,9.5320642,Q2 2002,CONSUMER DISCRETIONARY,"","",104.2485
Kb home inc.,KBH,"",8227362.0,335018000.0,0.0083,0.0102,1262,154533.0,1.914236,addition,8.9288970,Q2 2002,CONSUMER DISCRETIONARY,"","",26.5218
Atricure inc,ATRC,"",4196214.0,332886000.0,0.0083,0.006,1263,819636.0,24.274162,addition,9.1455755,Q3 2005,HEALTH CARE,"","",44.7613
Integer holdings corp,ITGR,"",3533080.0,332817000.0,0.0083,0.0089,1264,-36219.0,-1.014737,reduction,10.7062842,Q2 2002,HEALTH CARE,"","",47.23
Insperity inc.,NSP,"",3682210.0,332762000.0,0.0083,0.0082,1265,65591.0,1.8136,addition,9.5387545,Q2 2002,INDUSTRIALS,"","",33.5505
Cno financial group inc,CNO,"",14086975.0,332734000.0,0.0083,0.0093,1266,-82573.0,-0.58275,reduction,11.0236056,Q4 2003,FINANCE,"","",13.87
White mountains insurance group inc,WTM,"",289314.0,332141000.0,0.0083,0.0089,1267,-6038.0,-2.04434,reduction,9.3142914,Q2 2002,FINANCE,"","",689.85
Nu skin enterprises inc. class a,NUS,"",5855260.0,331701000.0,0.0083,0.0078,1268,416378.0,7.655581,addition,11.6790471,Q2 2002,CONSUMER STAPLES,"","",48.8288
Service properties trust,SVC,"",26250373.0,330755000.0,0.0082,0.0077,1269,2401899.0,10.0715,addition,15.9230442,Q2 2002,REAL ESTATE,"","",26.5546
Terex corp. (northwest engineering co.),TEX,"",6944174.0,330682000.0,0.0082,0.008,1270,544495.0,8.508161,addition,9.9486734,Q2 2002,INDUSTRIALS,"","",34.2201
Spectrum brands holdings (zapata off-shore - hrg group),SPB,"",3885097.0,330389000.0,0.0082,0.0087,1271,94179.0,2.484332,addition,9.1137912,Q4 2009,CONSUMER STAPLES,"","",107.9118
Livent corp,LTHM,"",17061497.0,330310000.0,0.0082,0.0074,1272,1241572.0,7.848154,addition,10.5616668,Q4 2018,MATERIALS,"","",12.6469
Kirby corp,KEX,"",5441373.0,329965000.0,0.0082,0.0087,1273,126001.0,2.370502,addition,9.0525096,Q2 2002,TRANSPORTS,"","",57.3187
Qualys  inc.,QLYS,"",3273995.0,329658000.0,0.0082,0.0094,1274,-28932.0,-0.87595,reduction,8.4067295,Q4 2012,INFORMATION TECHNOLOGY,"","",53.99
California water services group,CWT,"",5935210.0,329642000.0,0.0082,0.009,1275,42301.0,0.717829,addition,11.6754401,Q2 2002,UTILITIES AND TELECOMMUNICATIONS,"","",26.6573
Cornerstone ondemand inc,CSOD,"",6375635.0,328854000.0,0.0082,0.0075,1276,50901.0,0.804793,addition,9.5509295,Q2 2011,INFORMATION TECHNOLOGY,"","",38.7334
Cabot corp.,CBT,"",5768169.0,328382000.0,0.0082,0.0077,1277,371757.0,6.888966,addition,10.1689163,Q2 2002,MATERIALS,"","",41.2502
Hilton grand vacations inc,HGV,"",7932645.0,328332000.0,0.0082,0.008,1278,57379.0,0.728598,addition,9.2506140,Q1 2017,CONSUMER DISCRETIONARY,"","",32.9713
Badger meter inc,BMI,"",3345415.0,328252000.0,0.0082,0.0084,1279,14267.0,0.428291,addition,11.4661694,Q2 2002,INDUSTRIALS,"","",30.2407
Retail opportunity investments corp,ROIC,"",18583547.0,328185000.0,0.0082,0.0078,1280,369859.0,2.030665,addition,15.6456515,Q2 2010,REAL ESTATE,"","",14.6805
Abercrombie & fitch co.,ANF,"",7055533.0,327588000.0,0.0082,0.0064,1281,160713.0,2.330924,addition,11.4654212,Q2 2002,CONSUMER DISCRETIONARY,"","",30.0224
American equity investment life holding  co.,AEL,"",10124196.0,327214000.0,0.0081,0.0091,1282,-505040.0,-4.751423,reduction,10.9435599,Q4 2003,FINANCE,"","",21.16
Murphy usa inc,MUSA,"",2450496.0,326823000.0,0.0081,0.0097,1283,-38998.0,-1.566503,reduction,9.4814943,Q3 2013,ENERGY,"","",49.56
Evertec  inc.,EVTC,"",7475143.0,326291000.0,0.0081,0.0074,1284,132336.0,1.802254,addition,10.3864915,Q2 2013,FINANCE,"","",23.5915
Kontoor brands inc,KTB,"",5775594.0,325801000.0,0.0081,0.0073,1285,236341.0,4.266658,addition,10.0159483,Q2 2019,CONSUMER DISCRETIONARY,"","",30.7163
Haemonetics corp. (ma),HAE,"",4887681.0,325715000.0,0.0081,0.0147,1286,4068.0,0.083299,addition,9.5781258,Q2 2002,HEALTH CARE,"","",42.3203
Visteon corp.,VC,"",2693004.0,325692000.0,0.0081,0.009,1287,-45471.0,-1.66045,reduction,9.6232591,Q1 2011,CONSUMER DISCRETIONARY,"","",70.22
Dana incorporated,DAN,"",13687675.0,325219000.0,0.0081,0.0087,1288,404741.0,3.047075,addition,9.4249029,Q1 2008,CONSUMER DISCRETIONARY,"","",15.3658
Bank of hawaii corp. (honolulu  hi),BOH,"",3860667.0,325146000.0,0.0081,0.0091,1289,102251.0,2.720588,addition,9.5376921,Q2 2002,FINANCE,"","",57.7015
South jersey industries inc.,SJI,"",12537918.0,325108000.0,0.0081,0.0069,1290,1291792.0,11.486551,addition,11.1500591,Q2 2002,UTILITIES AND TELECOMMUNICATIONS,"","",24.7101
Hain celestial group,HAIN,"",8101275.0,325023000.0,0.0081,0.0095,1291,28801.0,0.35678,addition,8.1239999,Q2 2002,CONSUMER STAPLES,"","",37.2702
Eastern bankshares  inc.,EBC,"",15795144.0,324906000.0,0.0081,0.0084,1292,-382649.0,-2.365273,reduction,8.4575392,Q4 2020,FINANCE,"","",16.36
Diamondrock hospitality co,DRH,"",33444586.0,324412000.0,0.0081,0.009,1293,1130744.0,3.499256,addition,15.8791242,Q2 2005,REAL ESTATE,"","",10.5696
Antero midstream corp,AM,"",31184757.0,324010000.0,0.0081,0.0074,1294,909505.0,3.00412,addition,6.5313899,Q1 2019,ENERGY,"","",10.1764
Ingevity corp,NGVT,"",3961316.0,322292000.0,0.008,0.0081,1295,-13984.0,-0.351772,reduction,10.0234496,Q2 2016,MATERIALS,"","",43.18
Bloom energy corp,BE,"",11977098.0,321824000.0,0.008,0.0085,1296,359597.0,3.095304,addition,8.2136269,Q3 2018,INDUSTRIALS,"","",20.3033
Renewable energy group inc,REGI,"",5150793.0,321100000.0,0.008,0.0073,1297,1059273.0,25.889474,addition,10.2533812,Q4 2012,HEALTH CARE,"","",34.5855
Tencent music entertainment group,TME,"",20725053.0,320825000.0,0.008,0.0097,1298,3299009.0,18.931486,addition,2.4820355,Q1 2019,INFORMATION TECHNOLOGY,"","",13.8824
Gatx corporation (general american tank - general american transportation),GATX,"",3625880.0,320782000.0,0.008,0.0088,1299,99799.0,2.830309,addition,10.2137465,Q2 2002,INDUSTRIALS,"","",49.4154
Kratos defense & security solutions inc,KTOS,"",11258158.0,320745000.0,0.008,0.0084,1300,-104149.0,-0.916618,reduction,9.0822699,Q2 2002,INDUSTRIALS,"","",18.03
Tenable holdings inc,TENB,"",7738879.0,320004000.0,0.008,0.0072,1301,406430.0,5.542896,addition,7.2611848,Q3 2018,INFORMATION TECHNOLOGY,"","",32.87
Cloudera inc,CLDR,"",20173721.0,319955000.0,0.008,0.007,1302,-1100318.0,-5.172116,reduction,6.9037355,Q2 2017,INFORMATION TECHNOLOGY,"","",13.19
Chimera investment corp,CIM,"",21188796.0,319103000.0,0.0079,0.0072,1303,310385.0,1.486631,addition,8.9799858,Q4 2007,REAL ESTATE,"","",204.0307
Vanguard short-term corporate bond etf,VCSH,"",3855965.0,318927000.0,0.0079,0.0097,1304,-469485.0,-10.854015,reduction,No Data,Q1 2014,FINANCE,"","",81.78
Brinker international inc.,EAT,"",5153319.0,318732000.0,0.0079,0.0096,1305,144310.0,2.881009,addition,11.2638592,Q2 2002,CONSUMER DISCRETIONARY,"","",37.1516
Iovance biotherapeutics inc,IOVA,"",12236411.0,318392000.0,0.0079,0.0103,1306,182924.0,1.517602,addition,7.8928292,Q1 2015,HEALTH CARE,"","",17.5683
Virtu financial inc,VIRT,"",11487329.0,317395000.0,0.0079,0.0108,1307,-1386245.0,-10.768144,reduction,9.7858882,Q2 2015,FINANCE,"","",22.86
Urban edge properties,UE,"",16609710.0,317245000.0,0.0079,0.0074,1308,151413.0,0.91998,addition,14.1797666,Q1 2015,REAL ESTATE,"","",22.7861
Macom techno ord,MTSI,"",4949883.0,317188000.0,0.0079,0.0077,1309,44365.0,0.90439,addition,7.1953611,Q1 2012,INFORMATION TECHNOLOGY,"","",36.0237
8x8 inc,EGHT,"",11417081.0,316938000.0,0.0079,0.0098,1310,303279.0,2.72885,addition,10.1908184,Q4 2003,INFORMATION TECHNOLOGY,"","",16.7699
Cushman & wakefield plc,CWK,"",18138987.0,316888000.0,0.0079,0.0069,1311,2472817.0,15.784439,addition,8.1250257,Q3 2018,REAL ESTATE,"","",17.0123
Old national bancorp,ONB,"",17965386.0,316371000.0,0.0079,0.0094,1312,1531.0,0.008523,addition,10.8400224,Q2 2002,FINANCE,"","",15.4902
Teck resources ltd,TECK,"",13727563.0,316283000.0,0.0079,0.0071,1313,58427.0,0.427437,addition,2.6166470,Q1 2015,MATERIALS,"","",15.3329
Maxlinear inc,MXL,"",7424054.0,315448000.0,0.0079,0.0068,1314,70094.0,0.953146,addition,9.7085108,Q2 2010,INFORMATION TECHNOLOGY,"","",20.7869
Viasat inc.,VSAT,"",6321768.0,315077000.0,0.0078,0.0078,1315,313550.0,5.218685,addition,8.6214720,Q2 2002,INFORMATION TECHNOLOGY,"","",47.0553
Kirkland lake gold ltd,KL,"",8169165.0,314759000.0,0.0078,0.0075,1316,-73719.0,-0.894335,reduction,3.0741238,Q3 2017,MATERIALS,"","",22.82
Vipshop holdings ltd adr,VIPS,"",15674583.0,314745000.0,0.0078,0.0126,1317,94126.0,0.604129,addition,2.5704004,Q4 2015,COMMUNICATIONS,"","",13.1916
Formfactor inc,FORM,"",8624628.0,314454000.0,0.0078,0.0105,1318,27584.0,0.320854,addition,11.1034856,Q2 2003,INFORMATION TECHNOLOGY,"","",16.4243
Dun & bradstreet holdings  inc.,DNB,"",14708975.0,314330000.0,0.0078,0.0092,1319,501619.0,3.530699,addition,3.4120872,Q3 2020,INFORMATION TECHNOLOGY,"","",24.9052
Northwestern corp,NWE,"",5213585.0,313962000.0,0.0078,0.0091,1320,71934.0,1.399045,addition,10.1114448,Q2 2005,UTILITIES AND TELECOMMUNICATIONS,"","",47.6065
Federated hermes inc. (federated investors),FHI,"",9255097.0,313841000.0,0.0078,0.0079,1321,-25595.0,-0.275788,reduction,9.4869469,Q2 2002,FINANCE,"","",28.75
Big lots inc,BIG,"",4733880.0,312484000.0,0.0078,0.009,1322,-137965.0,-2.831884,reduction,13.6661405,Q2 2002,CONSUMER DISCRETIONARY,"","",32.81
Emergent biosolutions inc,EBS,"",4959047.0,312370000.0,0.0078,0.0124,1323,25077.0,0.508252,addition,9.2345990,Q1 2007,HEALTH CARE,"","",39.7083
Lemonade  inc.,LMND,"",2854389.0,312299000.0,0.0078,0.0063,1324,371170.0,14.947131,addition,4.6369960,Q3 2020,FINANCE,"","",83.1545
M.d.c. holdings inc.,MDC,"",6163166.0,311857000.0,0.0078,0.0097,1325,147232.0,2.447367,addition,8.7706930,Q2 2002,CONSUMER DISCRETIONARY,"","",32.7372
Associated banc-corp,ASB,"",15207424.0,311449000.0,0.0078,0.0088,1326,-8197.0,-0.053872,reduction,9.9416160,Q2 2002,FINANCE,"","",20.64
Allegiant travel co,ALGT,"",1604398.0,311253000.0,0.0077,0.0096,1327,156614.0,10.817498,addition,8.9200088,Q1 2007,TRANSPORTS,"","",111.2152
Texas capital bancshares inc,TCBI,"",4881889.0,309951000.0,0.0077,0.0092,1328,72580.0,1.509157,addition,9.6484220,Q3 2003,FINANCE,"","",45.3242
Washington real estate investment trusts,WRE,"",13444432.0,309222000.0,0.0077,0.0078,1329,433733.0,3.333664,addition,15.8903487,Q2 2002,REAL ESTATE,"","",28.6709
Agios pharmaceuticals inc,AGIO,"",5590406.0,308088000.0,0.0077,0.008,1330,-139938.0,-2.442052,reduction,9.4830648,Q3 2013,HEALTH CARE,"","",58.05
United community banks inc,UCBI,"",9587793.0,306905000.0,0.0076,0.0086,1331,304760.0,3.282979,addition,11.0678140,Q2 2011,FINANCE,"","",23.4607
Chargepoint holdings inc,CHPT,"",8828650.0,306708000.0,0.0076,0.0007,1332,7852129.0,804.09218,addition,2.8827173,Q1 2021,FINANCE,"","",33.8507
Progyny  inc.,PGNY,"",5197239.0,306637000.0,0.0076,0.0053,1333,777703.0,17.596938,addition,5.8138743,Q4 2019,HEALTH CARE,"","",35.2409
Taylor morrison home corp,TMHC,"",11582245.0,306002000.0,0.0076,0.0095,1334,216673.0,1.906398,addition,9.2444163,Q2 2013,INDUSTRIALS,"","",19.3743
Columbia banking system  inc.,COLB,"",7930832.0,305813000.0,0.0076,0.0091,1335,152814.0,1.964691,addition,11.0507711,Q2 2002,FINANCE,"","",31.1261
Tanger factory outlet centers inc,SKT,"",16215122.0,305655000.0,0.0076,0.0063,1336,872715.0,5.688253,addition,15.5978733,Q2 2002,REAL ESTATE,"","",21.1398
Liberty sirius xm group  series a,LSXMA,"",6549845.0,305091000.0,0.0076,0.0088,1337,-807862.0,-10.979807,reduction,6.7229173,Q2 2016,COMMUNICATIONS,"","",32.56
Installed building products inc,IBP,"",2489757.0,304647000.0,0.0076,0.0074,1338,31525.0,1.282426,addition,8.3826301,Q1 2014,INDUSTRIALS,"","",49.1884
