Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price,Recent Price
Gamestop corp.  class a,GME,"",5941884.0,1042623000.0,0.0258836,0.0322,627,-99865.0,-1.652915,reduction,7.7680321,Q2 2002,CONSUMER DISCRETIONARY,13F,09/30/2021,55.94,210.0
Axon enterprise inc,AXON,"",5954733.0,1042198000.0,0.0258731,0.026,628,44303.0,0.749573,addition,9.0668761,Q2 2002,INDUSTRIALS,13F,09/30/2021,47.9227,172.89
Omega healthcare investors  inc.,OHI,"",34775917.0,1041887000.0,0.0258654,0.031,629,402166.0,1.16998,addition,14.5581838,Q2 2002,REAL ESTATE,13F,09/30/2021,30.1972,29.45
Rpm international inc.,RPM,"",13357673.0,1037224000.0,0.0257496,0.03,630,-231305.0,-1.702152,reduction,10.2933444,Q2 2002,MATERIALS,13F,09/30/2021,38.52,96.53
Toro co,TTC,"",10580971.0,1030692000.0,0.0255874,0.0293,631,-117922.0,-1.102189,reduction,9.9403481,Q2 2002,INDUSTRIALS,13F,09/30/2021,39.78,105.31
Rh common stock,RH,"",1530924.0,1020988000.0,0.0253465,0.0259,632,699.0,0.04568,addition,7.1493213,Q4 2012,CONSUMER DISCRETIONARY,13F,09/30/2021,110.3342,624.01
Juniper networks inc,JNPR,"",37068374.0,1020120000.0,0.025325,0.0254,633,-188269.0,-0.50533,reduction,11.4003280,Q2 2002,INFORMATION TECHNOLOGY,13F,09/30/2021,21.45,32.12
Paylocity holding corp,PCTY,"",3629811.0,1017799000.0,0.0252674,0.0171,634,26525.0,0.736134,addition,6.6478309,Q2 2014,INFORMATION TECHNOLOGY,13F,09/30/2021,68.6091,264.2
Carlisle companies inc,CSL,"",5071465.0,1008156000.0,0.025028,0.0243,635,-36436.0,-0.713326,reduction,9.7293180,Q2 2002,CONSUMER DISCRETIONARY,13F,09/30/2021,61.64,240.01
Vanguard total bond market indx fund etf,BND,"",11726921.0,1002066000.0,0.0248768,0.0224,636,1244463.0,11.871862,addition,No Data,Q4 2013,FINANCE,13F,09/30/2021,83.8231,84.95
Apache corp,APA,"",46653797.0,999791000.0,0.0248203,0.0244,637,1375858.0,3.038694,addition,12.3415711,Q2 2002,ENERGY,13F,09/30/2021,42.82,27.66
Black knight inc,BKI,"",13850062.0,997204000.0,0.0247561,0.0269,638,-16847.0,-0.121491,reduction,8.8425329,Q4 2017,INFORMATION TECHNOLOGY,13F,09/30/2021,47.67,74.31
Deckers outdoor corp,DECK,"",2750570.0,990754000.0,0.024596,0.027,639,-75011.0,-2.654711,reduction,9.9432136,Q2 2002,CONSUMER DISCRETIONARY,13F,09/30/2021,89.82,436.85
Five9 inc,FIVN,"",6200253.0,990429000.0,0.0245879,0.0291,640,-186853.0,-2.925472,reduction,9.2485874,Q2 2014,INFORMATION TECHNOLOGY,13F,09/30/2021,29.9,165.32
Eastgroup properties  inc.,EGP,"",5933701.0,988732000.0,0.0245458,0.0241,641,34943.0,0.592379,addition,14.6854231,Q2 2002,REAL ESTATE,13F,09/30/2021,64.3757,203.66
Brixmor property group inc,BRX,"",44390037.0,981464000.0,0.0243653,0.0252,642,206325.0,0.466971,addition,14.9472427,Q4 2013,REAL ESTATE,13F,09/30/2021,24.5088,24.73
Suncor energy  inc.,SU,"",47200889.0,978947000.0,0.0243028,0.0277,643,774172.0,1.667514,addition,3.1828992,Q1 2015,ENERGY,13F,09/30/2021,28.3629,25.56
Service corp. international  inc.,SCI,"",16242217.0,978755000.0,0.0242981,0.0222,644,-427891.0,-2.566816,reduction,9.6599364,Q2 2002,CONSUMER DISCRETIONARY,13F,09/30/2021,18.32,68.44
Ugi corp. (united gas improvement),UGI,"",22932018.0,977362000.0,0.0242635,0.0247,645,1462786.0,6.813406,addition,10.9671728,Q2 2002,UTILITIES AND TELECOMMUNICATIONS,13F,09/30/2021,34.4188,45.26
Hubbell inc class b,HUBB,"",5408610.0,977174000.0,0.0242588,0.0251,646,8767.0,0.162357,addition,9.9458661,Q2 2002,INDUSTRIALS,13F,09/30/2021,88.2401,209.16
Hill-rom holdings,HRC,"",6496298.0,974445000.0,0.0241911,0.019,647,-218870.0,-3.259338,reduction,9.8703076,Q2 2008,HEALTH CARE,13F,09/30/2021,55.89,156.18
Barrick gold corp,GOLD,"",53968573.0,974133000.0,0.0241833,0.0269,648,1654972.0,3.16356,addition,3.0346656,Q1 2012,MATERIALS,13F,09/30/2021,13.9109,20.99
Western union co (the),WU,"",48078043.0,972139000.0,0.0241338,0.0274,649,90036.0,0.187622,addition,11.8317351,Q4 2006,FINANCE,13F,09/30/2021,19.4514,17.09
Western alliance bancorporation,WAL,"",8928659.0,971617000.0,0.0241209,0.0198,650,375969.0,4.395915,addition,8.5670121,Q3 2005,FINANCE,13F,09/30/2021,32.8783,117.07
Franklin resources inc,BEN,"",32561416.0,967726000.0,0.0240243,0.0256,651,376035.0,1.168341,addition,6.4753197,Q2 2002,FINANCE,13F,09/30/2021,20.6559,35.0
First horizon,FHN,"",59396606.0,967571000.0,0.0240204,0.026,652,-1073751.0,-1.775665,reduction,10.8124902,Q2 2002,FINANCE,13F,09/30/2021,14.1,17.16
Lennox international  inc.,LII,"",3285898.0,966613000.0,0.0239966,0.0294,653,-78483.0,-2.332762,reduction,8.8409873,Q2 2002,INDUSTRIALS,13F,09/30/2021,95.96,322.14
Builders firstsource inc,BLDR,"",18654571.0,965188000.0,0.0239613,0.0203,654,-423598.0,-2.220328,reduction,9.0028048,Q3 2005,INDUSTRIALS,13F,09/30/2021,27.86,69.25
First industrial realty trust  inc.,FR,"",18527144.0,964894000.0,0.023954,0.0243,655,-187070.0,-0.999615,reduction,14.3475078,Q2 2002,REAL ESTATE,13F,09/30/2021,21.73,61.21
American campus communities inc,ACC,"",19906829.0,964486000.0,0.0239438,0.0232,656,-27859.0,-0.139751,reduction,14.3104590,Q3 2004,REAL ESTATE,13F,09/30/2021,39.65,53.33
Zoominfo technologies inc.,ZI,"",15727193.0,962347000.0,0.0238907,0.011,657,7233640.0,85.166243,addition,8.6505418,Q2 2020,COMMUNICATIONS,13F,09/30/2021,54.3367,77.35
Sun life financial inc,SLF,"",18657010.0,959904000.0,0.0238301,0.0232,658,545984.0,3.01465,addition,3.1851634,Q1 2015,FINANCE,13F,09/30/2021,34.6757,56.15
Globe life inc,GL,"",10768520.0,958721000.0,0.0238007,0.026,659,-186494.0,-1.702362,reduction,10.5863701,Q2 2002,FINANCE,13F,09/30/2021,38.66,94.2
Lamb weston holdings inc,LW,"",15535210.0,953395000.0,0.0236685,0.0311,660,58073.0,0.375218,addition,10.7051554,Q4 2016,CONSUMER STAPLES,13F,09/30/2021,47.0637,58.7
Newell brands inc,NWL,"",42886630.0,949509000.0,0.023572,0.0299,661,-871541.0,-1.991722,reduction,10.0814833,Q2 2002,CONSUMER DISCRETIONARY,13F,09/30/2021,35.62,23.45
Organon & co,OGN,"",28808686.0,944636000.0,0.0234511,0.0218,662,-103554.0,-0.358167,reduction,11.3623539,Q2 2021,HEALTH CARE,13F,09/30/2021,30.26,32.95
Opendoor technologies  inc.,OPEN,"",45916556.0,942667000.0,0.0234022,0.0183,663,4406798.0,10.616294,addition,7.5940176,Q1 2021,CONSUMER DISCRETIONARY,13F,09/30/2021,20.1593,21.0
Rollins  inc.,ROL,"",26646718.0,941428000.0,0.0233714,0.0198,664,3392640.0,14.589441,addition,5.4151269,Q2 2002,INDUSTRIALS,13F,09/30/2021,18.016,35.96
Dxc technology company,DXC,"",27956342.0,939612000.0,0.0233263,0.0274,665,-289250.0,-1.024054,reduction,11.0980037,Q2 2002,INFORMATION TECHNOLOGY,13F,09/30/2021,38.9,32.14
Pinnacle west capital corp,PNW,"",12982387.0,939406000.0,0.0233212,0.0262,666,124154.0,0.96556,addition,11.5106790,Q2 2002,UTILITIES AND TELECOMMUNICATIONS,13F,09/30/2021,60.1281,66.27
Campbell soup co.,CPB,"",22365586.0,935105000.0,0.0232144,0.0266,667,-1100042.0,-4.687886,reduction,7.4176683,Q2 2002,CONSUMER STAPLES,13F,09/30/2021,42.16,41.59
Elastic nv,ESTC,"",6245887.0,930575000.0,0.023102,0.0223,668,103471.0,1.684533,addition,6.8041098,Q4 2018,INFORMATION TECHNOLOGY,13F,09/30/2021,91.2428,182.21
Healthcare trust of america inc,HTA,"",31305881.0,928533000.0,0.0230513,0.0208,669,-943.0,-0.003012,reduction,14.3047656,Q2 2012,REAL ESTATE,13F,09/30/2021,43.52,34.72
Zillow group inc. class b,ZG,"",8773787.0,927564761.64,0.0230273,0.0126,670,3052169.0,53.344508,addition,14.3013053,,COMMUNICATIONS,13G,10/29/2021,,60.12
Lithia motors inc  class a,LAD,"",2915151.0,924219000.0,0.0229442,0.0247,671,26063.0,0.902119,addition,9.6366487,Q2 2002,CONSUMER DISCRETIONARY,13F,09/30/2021,155.6757,299.44
Molson coors brewing co,TAP,"",19921656.0,923967000.0,0.0229379,0.0264,672,179330.0,0.908353,addition,9.9324080,Q2 2002,CONSUMER STAPLES,13F,09/30/2021,61.9684,47.72
Wynn resorts ltd,WYNN,"",10896763.0,923501000.0,0.0229264,0.033,673,68031.0,0.628245,addition,9.4204281,Q4 2002,CONSUMER DISCRETIONARY,13F,09/30/2021,102.6972,95.0
Cable one inc,CABO,"",509162.0,923176000.0,0.0229183,0.0237,674,12124.0,2.43925,addition,8.4325345,Q3 2015,CONSUMER DISCRETIONARY,13F,09/30/2021,680.6539,1830.97
Iac/interactivecorp,IAC,"",7072343.0,921456000.0,0.0228756,0.0266,675,129630.0,1.867138,addition,8.4754512,Q3 2020,COMMUNICATIONS,13F,09/30/2021,56.056,134.8
Smith (a.o.) corp.  class b,AOS,"",15034730.0,918171000.0,0.022794,0.0271,676,-68107.0,-0.450955,reduction,11.2875397,Q2 2002,INDUSTRIALS,13F,09/30/2021,33.7,82.75
Novocure ltd,NVCR,"",7861860.0,913312000.0,0.0226734,0.0431,677,52737.0,0.675326,addition,7.5851630,Q4 2015,HEALTH CARE,13F,09/30/2021,39.8355,113.32
Stag industrial inc,STAG,"",23268394.0,913285000.0,0.0226728,0.0215,678,177994.0,0.770857,addition,14.3597955,Q2 2011,REAL ESTATE,13F,09/30/2021,25.4663,42.88
Tempur sealy international inc,TPX,"",19588186.0,909088000.0,0.0225686,0.019,679,90391.0,0.463596,addition,9.9687037,Q4 2003,CONSUMER DISCRETIONARY,13F,09/30/2021,25.1187,44.29
Guidewire software  inc.,GWRE,"",7621592.0,905979000.0,0.0224914,0.0217,680,-115044.0,-1.487003,reduction,9.1655549,Q1 2012,INFORMATION TECHNOLOGY,13F,09/30/2021,57.63,120.34
Dropbox inc,DBX,"",30985146.0,905386000.0,0.0224767,0.023,681,443405.0,1.4518,addition,9.8265595,Q1 2018,INFORMATION TECHNOLOGY,13F,09/30/2021,23.4143,26.12
Lucid group inc,LCID,"",35512620.0,901310000.0,0.0223755,,682,35512620.0,,new,2.1940039,Q3 2021,CONSUMER DISCRETIONARY,13F,09/30/2021,25.38,52.55
American financial group inc. (holding co.),AFG,"",7155022.0,900316000.0,0.0223508,0.0228,683,-201530.0,-2.739463,reduction,8.4077814,Q2 2002,FINANCE,13F,09/30/2021,59.7,140.95
Five below inc,FIVE,"",5090907.0,900123000.0,0.022346,0.0246,684,-25193.0,-0.492426,reduction,9.0873691,Q3 2012,CONSUMER DISCRETIONARY,13F,09/30/2021,54.31,211.98
Sealed air corp.,SEE,"",16407708.0,898979000.0,0.0223176,0.0247,685,-336544.0,-2.009908,reduction,10.9462931,Q2 2002,MATERIALS,13F,09/30/2021,30.92,65.76
Ovintiv inc. (pan canadian energy - encana corp.),OVV,"",27251860.0,896041000.0,0.0222447,0.0213,686,47695.0,0.175322,addition,10.4379493,Q1 2015,ENERGY,13F,09/30/2021,13.0847,34.33
Huntington ingalls industries inc,HII,"",4620786.0,892088000.0,0.0221465,0.0242,687,12273.0,0.266311,addition,11.5114786,Q1 2011,INDUSTRIALS,13F,09/30/2021,107.1787,186.69
Davita inc.,DVA,"",7635681.0,887724000.0,0.0220382,0.024,688,-374895.0,-4.680001,reduction,7.2859552,Q2 2002,HEALTH CARE,13F,09/30/2021,46.52,100.59
Heico corp.  class a,HEI.A,"",7470452.0,884725000.0,0.0219637,0.0218,689,421928.0,5.986048,addition,9.2050708,Q2 2002,INDUSTRIALS,13F,09/30/2021,49.5058,135.78
Liberty media corp series c,FWONK,"",17202463.0,884379000.0,0.0219551,0.0206,690,-4053.0,-0.023555,reduction,8.4492705,Q3 2014,COMMUNICATIONS,13F,09/30/2021,33.77,60.2
Innovative industrial properties inc,IIPR,"",3823518.0,883883000.0,0.0219428,0.0181,691,6364.0,0.166721,addition,15.9790598,Q1 2017,REAL ESTATE,13F,09/30/2021,105.9887,280.26
Middleby corp (the),MIDD,"",5151976.0,878463000.0,0.0218083,0.0219,692,63807.0,1.254027,addition,9.2617474,Q2 2002,INDUSTRIALS,13F,09/30/2021,52.9344,192.33
Wolfspeed inc (cree inc),WOLF,"",10866872.0,877282000.0,0.021779,0.0265,693,5574.0,0.05132,addition,9.3772870,Q2 2002,INFORMATION TECHNOLOGY,13F,09/30/2021,43.4291,
Mks instruments inc,MKSI,"",5812592.0,877179000.0,0.0217764,0.0251,694,139782.0,2.46407,addition,10.4822241,Q2 2002,INFORMATION TECHNOLOGY,13F,09/30/2021,58.2141,164.95
Natera inc,NTRA,"",7846464.0,874411000.0,0.0217077,0.0211,695,382199.0,5.120384,addition,8.3666098,Q3 2015,HEALTH CARE,13F,09/30/2021,30.0666,112.49
Coresite realty corp,COR,"",6308305.0,873953000.0,0.0216963,0.0208,696,89109.0,1.432806,addition,14.6738893,Q4 2010,REAL ESTATE,13F,09/30/2021,64.2938,171.7
Jabil inc,JBL,"",14959749.0,873200000.0,0.0216776,0.0219,697,-195770.0,-1.291741,reduction,10.2583741,Q2 2002,INFORMATION TECHNOLOGY,13F,09/30/2021,23.76,64.14
Watsco inc.,WSO,"",3294853.0,871885000.0,0.021645,0.0237,698,-27764.0,-0.835606,reduction,9.9931646,Q2 2002,INDUSTRIALS,13F,09/30/2021,114.61,304.54
Nielsen n.v.,NLSN,"",45244759.0,868248000.0,0.0215547,0.0277,699,134147.0,0.297373,addition,12.6100168,Q1 2011,COMMUNICATIONS,13F,09/30/2021,35.5115,21.91
Carlyle group inc,CG,"",18319454.0,866143000.0,0.0215024,0.0193,700,1642966.0,9.85199,addition,5.1682399,Q2 2020,FINANCE,13F,09/30/2021,30.8943,59.25
Penumbra inc,PEN,"",3246482.0,865187000.0,0.0214787,0.0221,701,643.0,0.01981,addition,8.8748881,Q3 2015,HEALTH CARE,13F,09/30/2021,97.8934,266.51
First solar inc,FSLR,"",9042632.0,863209000.0,0.0214296,0.0202,702,86727.0,0.968378,addition,8.5051649,Q4 2006,INDUSTRIALS,13F,09/30/2021,69.1844,103.94
Lattice semconductor corp.,LSCC,"",13285553.0,858911000.0,0.0213229,0.0187,703,-102497.0,-0.765586,reduction,9.7412383,Q2 2002,INFORMATION TECHNOLOGY,13F,09/30/2021,9.12,82.66
Deutsche bank ag (nyse) adr,DB,"",67501953.0,857274000.0,0.0212823,0.0213,704,1991600.0,3.04013,addition,3.2660553,Q1 2015,FINANCE,13F,09/30/2021,20.1146,12.96
Lear corp,LEA,"",5461351.0,854592000.0,0.0212157,0.0236,705,46348.0,0.855918,addition,9.1416554,Q4 2009,CONSUMER DISCRETIONARY,13F,09/30/2021,67.8486,180.98
Crocs inc,CROX,"",5952471.0,854061000.0,0.0212025,0.0184,706,-398106.0,-6.268816,reduction,9.5414285,Q1 2006,CONSUMER DISCRETIONARY,13F,09/30/2021,19.86,176.16
Neurocrine biosciences inc.,NBIX,"",8888470.0,852493000.0,0.0211636,0.0218,707,-96151.0,-1.070173,reduction,9.4012130,Q2 2002,HEALTH CARE,13F,09/30/2021,48.55,89.6
Intellia therapeutics inc,NTLA,"",6353334.0,852299000.0,0.0211587,0.0243,708,327157.0,5.428931,addition,8.6455156,Q2 2016,HEALTH CARE,13F,09/30/2021,43.9376,134.4
Owens corning inc,OC,"",9947183.0,850485000.0,0.0211137,0.0247,709,-190504.0,-1.879166,reduction,9.6452915,Q4 2006,INDUSTRIALS,13F,09/30/2021,39.79,91.74
Acceleron pharma inc,XLRN,"",4925189.0,847624000.0,0.0210427,0.0153,710,14836.0,0.302137,addition,8.0872691,Q4 2013,HEALTH CARE,13F,09/30/2021,53.9669,179.68
Syneos health inc class a,SYNH,"",9649838.0,844168000.0,0.0209569,0.0216,711,-63333.0,-0.652032,reduction,9.3250333,Q4 2014,HEALTH CARE,13F,09/30/2021,56.91,102.46
Ferrari n.v.,RACE,"",4007416.0,838031000.0,0.0208045,0.02,712,99418.0,2.543962,addition,2.1691268,Q1 2016,CONSUMER DISCRETIONARY,13F,09/30/2021,68.2633,266.28
Chegg inc,CHGG,"",12225323.0,831566000.0,0.020644,0.0253,713,-5487.0,-0.044862,reduction,8.4500341,Q4 2013,CONSUMER DISCRETIONARY,13F,09/30/2021,29.62,28.6
Chemed corporation,CHE,"",1786599.0,830983000.0,0.0206296,0.0215,714,-32713.0,-1.798097,reduction,11.3568565,Q2 2002,HEALTH CARE,13F,09/30/2021,123.62,505.11
Cliffs natural resources inc.,CLF,"",41889788.0,829836000.0,0.0206011,0.0225,715,-138421.0,-0.329353,reduction,8.3824021,Q2 2002,MATERIALS,13F,09/30/2021,11.6,21.42
Aecom,ACM,"",13114497.0,828181000.0,0.02056,0.0211,716,-293828.0,-2.191385,reduction,9.1033816,Q2 2007,INDUSTRIALS,13F,09/30/2021,30.54,72.46
Discovery inc series c,DISCK,"",34065975.0,826781000.0,0.0205252,0.0242,717,523067.0,1.559397,addition,10.3184494,Q4 2008,COMMUNICATIONS,13F,09/30/2021,27.2436,26.84
Churchill downs inc,CHDN,"",3436358.0,825001000.0,0.0204811,0.0171,718,-21501.0,-0.621801,reduction,8.9209598,Q2 2002,CONSUMER DISCRETIONARY,13F,09/30/2021,92.45,237.5
Peoples united financial  inc.,PBCT,"",47073900.0,822381000.0,0.020416,0.02,719,225127.0,0.48054,addition,10.9997371,Q2 2002,FINANCE,13F,09/30/2021,16.0568,18.63
Bruker corp,BRKR,"",10498162.0,819906000.0,0.0203546,0.02,720,-90272.0,-0.852553,reduction,6.9515045,Q2 2002,HEALTH CARE,13F,09/30/2021,22.48,85.37
Athene holding ltd class a,ATH,"",11892793.0,819057000.0,0.0203335,0.0189,721,624145.0,5.538774,addition,6.1951310,Q4 2016,FINANCE,13F,09/30/2021,47.7972,85.87
Alcoa corp,AA,"",16712015.0,817887000.0,0.0203044,0.0151,722,274945.0,1.672713,addition,8.9433075,Q4 2016,MATERIALS,13F,09/30/2021,30.3706,47.92
Aptargroup  inc.,ATR,"",6848203.0,817334000.0,0.0202907,0.024,723,11320.0,0.165573,addition,10.3824363,Q2 2002,MATERIALS,13F,09/30/2021,57.4625,134.45
Jefferies financial group inc. (talcott national - leucadia national),JEF,"",21999062.0,816826000.0,0.0202781,0.0195,724,-883521.0,-3.861107,reduction,8.9053597,Q2 2002,FINANCE,13F,09/30/2021,24.04,40.54
Cimarex energy co.,XEC,"",9268626.0,808225000.0,0.0200646,0.0203,725,-1995855.0,-17.718127,reduction,9.0150127,Q3 2002,ENERGY,13F,09/30/2021,83.51,
Polaris inc,PII,"",6734530.0,805854000.0,0.0200057,0.0243,726,-396159.0,-5.55569,reduction,11.1149211,Q2 2002,CONSUMER DISCRETIONARY,13F,09/30/2021,78.22,121.84
Gentex corp.,GNTX,"",24332894.0,802499000.0,0.0199224,0.0205,727,-582404.0,-2.337536,reduction,10.1830837,Q2 2002,CONSUMER DISCRETIONARY,13F,09/30/2021,16.53,37.61
Vanguard total international bond etf,BNDX,"",14060612.0,800893000.0,0.0198826,0.0193,728,504014.0,3.71785,addition,No Data,Q2 2014,FINANCE,13F,09/30/2021,56.6418,56.95
Alaska air group inc,ALK,"",13647593.0,799749000.0,0.0198542,0.0197,729,507842.0,3.864929,addition,10.8977853,Q2 2002,TRANSPORTS,13F,09/30/2021,41.1061,53.54
Gxo logistics inc,GXO,"",10171705.0,797868000.0,0.0198075,,730,10171705.0,,new,8.8731835,Q3 2021,INDUSTRIALS,13F,09/30/2021,78.44,103.51
Cousins properties  inc.,CUZ,"",21366142.0,796743000.0,0.0197795,0.0197,731,-126042.0,-0.586455,reduction,14.3697789,Q2 2002,REAL ESTATE,13F,09/30/2021,17.04,39.29
Spirit realty capital  inc.,SRC,"",17276763.0,795421000.0,0.0197467,0.0203,732,252778.0,1.484834,addition,15.0284995,Q4 2012,REAL ESTATE,13F,09/30/2021,74.3299,47.67
Siteone landscape supply inc,SITE,"",3984312.0,794751000.0,0.0197301,0.0171,733,-67389.0,-1.663227,reduction,8.9437405,Q2 2016,INDUSTRIALS,13F,09/30/2021,57.86,247.7
Arrow electronics corp.,ARW,"",7057303.0,792464000.0,0.0196733,0.0205,734,-194830.0,-2.68652,reduction,9.8264714,Q2 2002,INFORMATION TECHNOLOGY,13F,09/30/2021,44.39,125.22
Pvh corp. (phillips jones - phillips van heusen corp.),PVH,"",7703945.0,791888000.0,0.019659,0.0205,735,63474.0,0.83076,addition,10.8427549,Q2 2002,CONSUMER DISCRETIONARY,13F,09/30/2021,83.5201,122.64
Franco-nevada corp,FNV,"",6094495.0,791736000.0,0.0196552,0.0214,736,165169.0,2.785629,addition,3.1890712,Q1 2015,MATERIALS,13F,09/30/2021,68.2088,146.66
Tetra tech  inc.,TTEK,"",5297980.0,791201000.0,0.019642,0.0163,737,-73469.0,-1.367769,reduction,9.7981579,Q2 2002,INDUSTRIALS,13F,09/30/2021,34.01,183.65
First american corp (the),FAF,"",11765360.0,788867000.0,0.019584,0.0187,738,-283030.0,-2.349111,reduction,10.7035741,Q2 2002,FINANCE,13F,09/30/2021,,76.12
Genpact ltd,G,"",16530155.0,785347000.0,0.0194966,0.0191,739,-372421.0,-2.203339,reduction,8.8049448,Q3 2007,INDUSTRIALS,13F,09/30/2021,26.88,51.43
Sunrun inc,RUN,"",17843246.0,785104000.0,0.0194906,0.0238,740,721734.0,4.215364,addition,8.6645917,Q3 2015,ENERGY,13F,09/30/2021,39.3846,55.14
Aspen technology inc,AZPN,"",6391140.0,784832000.0,0.0194838,0.0224,741,-159863.0,-2.440283,reduction,9.5280801,Q1 2010,INFORMATION TECHNOLOGY,13F,09/30/2021,39.39,150.87
Douglas emmett inc,DEI,"",24719640.0,781387000.0,0.0193983,0.0206,742,65507.0,0.265704,addition,14.0874746,Q4 2006,REAL ESTATE,13F,09/30/2021,26.713,35.98
Berkshire hathaway inc class a,BRK.A,"",1896.0,779975000.0,0.0193633,0.021,743,-124.0,-6.138614,reduction,0.3041064,Q2 2002,FINANCE,13F,09/30/2021,110191.16,426198.0
Roblox corp. class a,RBLX,"",10315294.0,779320000.0,0.019347,0.0227,744,165718.0,1.632758,addition,1.9981425,Q1 2021,INFORMATION TECHNOLOGY,13F,09/30/2021,70.6402,124.7
Anaplan inc,PLAN,"",12757742.0,776818000.0,0.0192849,0.0163,745,469532.0,3.820996,addition,8.7272620,Q4 2018,INFORMATION TECHNOLOGY,13F,09/30/2021,47.5883,60.54
Nutanix inc,NTNX,"",20537334.0,774257000.0,0.0192213,0.0182,746,1358434.0,7.082961,addition,9.8454476,Q3 2016,INFORMATION TECHNOLOGY,13F,09/30/2021,32.7786,35.15
New york times co. class a,NYT,"",15689099.0,773002000.0,0.0191902,0.0151,747,1756297.0,12.605483,addition,9.3895029,Q2 2002,COMMUNICATIONS,13F,09/30/2021,24.2268,47.68
Agco corp,AGCO,"",6308116.0,772934000.0,0.0191885,0.0194,748,316815.0,5.287917,addition,8.3677825,Q2 2002,INDUSTRIALS,13F,09/30/2021,57.7077,121.92
Sensata technologies holding n.v.,ST,"",14123200.0,772821000.0,0.0191857,0.0205,749,-58879.0,-0.415165,reduction,8.9176150,Q2 2010,INFORMATION TECHNOLOGY,13F,09/30/2021,39.7,61.34
Reinsurance group of america inc,RGA,"",6940221.0,772168000.0,0.0191695,0.0197,750,4785.0,0.068993,addition,10.2066671,Q4 2008,FINANCE,13F,09/30/2021,77.0436,111.78
Alleghany corp (ny),Y,"",1230991.0,768644000.0,0.019082,0.0207,751,-17239.0,-1.381076,reduction,8.8369777,Q2 2002,FINANCE,13F,09/30/2021,410.55,693.17
United therapeutics corp,UTHR,"",4160268.0,767903000.0,0.0190636,0.0188,752,-39473.0,-0.939891,reduction,9.2607864,Q2 2002,HEALTH CARE,13F,09/30/2021,84.6,199.41
Lincoln electric holdings inc,LECO,"",5938926.0,764875000.0,0.0189884,0.0191,753,110361.0,1.893451,addition,10.0004477,Q2 2002,INDUSTRIALS,13F,09/30/2021,47.9408,145.6
Macys inc,M,"",33676072.0,761079000.0,0.0188942,0.0159,754,-2733.0,-0.008115,reduction,10.8736019,Q2 2007,CONSUMER DISCRETIONARY,13F,09/30/2021,30.38,30.84
Vistra energy corp,VST,"",44475986.0,760540000.0,0.0188808,0.0207,755,-324344.0,-0.723977,reduction,9.2174624,Q2 2017,ENERGY,13F,09/30/2021,19.93,20.2
Scientific games corp. class a,SGMS,"",9129812.0,758413000.0,0.018828,0.016,756,838301.0,10.110353,addition,9.4737412,Q2 2002,INDUSTRIALS,13F,09/30/2021,35.6903,68.95
Smartsheet inc,SMAR,"",10958043.0,754132000.0,0.0187217,0.0197,757,13666.0,0.124868,addition,8.6991386,Q2 2018,INFORMATION TECHNOLOGY,13F,09/30/2021,45.4192,69.53
Berry global group inc,BERY,"",12359255.0,752432000.0,0.0186795,0.0203,758,-141138.0,-1.129069,reduction,9.1347044,Q4 2012,HEALTH CARE,13F,09/30/2021,35.05,70.24
Sofi technologies inc,SOFI,"",47347160.0,751872000.0,0.0186656,,759,47347160.0,,new,5.9579197,Q3 2021,FINANCE,13F,09/30/2021,15.88,21.12
Bright horizons family solutions  inc.,BFAM,"",5371685.0,748920000.0,0.0185923,0.0199,760,-76033.0,-1.395685,reduction,8.8699311,Q1 2013,CONSUMER DISCRETIONARY,13F,09/30/2021,73.23,131.45
Bjs wholesale club holdings inc,BJ,"",13588488.0,746279000.0,0.0185267,0.0162,761,-123153.0,-0.898164,reduction,9.9517331,Q2 2018,CONSUMER DISCRETIONARY,13F,09/30/2021,26.63,59.97
Ciena corp,CIEN,"",14519385.0,745570000.0,0.0185091,0.0207,762,-115373.0,-0.788349,reduction,9.3716255,Q2 2002,INFORMATION TECHNOLOGY,13F,09/30/2021,173.33,61.75
American capital agency corp.,AGNC,"",47191481.0,744209000.0,0.0184754,0.0198,763,-26772.0,-0.056698,reduction,8.9904224,Q2 2008,REAL ESTATE,13F,09/30/2021,22.22,15.94
Aramark,ARMK,"",22592882.0,742402000.0,0.0184305,0.021,764,-31137.0,-0.137628,reduction,8.8515643,Q4 2013,CONSUMER DISCRETIONARY,13F,09/30/2021,32.22,38.08
Commerce bancshares  inc. (commerce trust co.  kansas city  mo),CBSH,"",10638301.0,741277000.0,0.0184026,0.0199,765,-83529.0,-0.779055,reduction,9.1078061,Q2 2002,FINANCE,13F,09/30/2021,43.26,73.29
Vanguard ftse developed markets etf,VEA,"",14667807.0,740578000.0,0.0183852,0.0189,766,-110106.0,-0.745071,reduction,No Data,Q4 2011,FINANCE,13F,09/30/2021,40.23,52.35
Wex  inc.,WEX,"",4194865.0,738884000.0,0.0183432,0.0203,767,-19336.0,-0.45883,reduction,9.3639924,Q1 2005,FINANCE,13F,09/30/2021,83.82,141.13
Tradeweb markets inc,TW,"",9090705.0,734348000.0,0.0182306,0.0191,768,30232.0,0.333669,addition,8.6323264,Q2 2019,FINANCE,13F,09/30/2021,54.4578,97.99
